Song Name,Artist Name,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Loudness,Liveness,Speechiness,Time_signature,Key,Valence,Tempo,Mode,Target,URL,Image
this is what heartbreak feels like,JVKE,0.581,0.707,157636,0.478,0.0,-4.602,0.112,0.0671,4,1,0.571,109.986,1,1,https://open.spotify.com/track/33aLws184a7SVqraKuDqI3,https://i.scdn.co/image/ab67616d0000b2730793b9b375674f8b66fab3fe
Hymn for the Weekend,Coldplay,0.211,0.491,258267,0.693,6.92e-06,-6.487,0.325,0.0377,4,0,0.412,90.027,0,1,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6
Demons,Imagine Dragons,0.19,0.505,177507,0.71,0.00025,-3.015,0.269,0.0321,4,3,0.428,89.938,1,1,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR,https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737
Heat Waves,Glass Animals,0.44,0.761,238805,0.525,6.7e-06,-6.9,0.0921,0.0944,4,11,0.531,80.87,1,1,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464
MIDDLE OF THE NIGHT,Elley Duhé,0.0228,0.41,184448,0.611,0.0,-8.271,0.116,0.0467,3,4,0.0899,185.727,0,1,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e
Everybody Dies In Their Nightmares,XXXTENTACION,0.847,0.734,95467,0.57,2.14e-05,-7.066,0.112,0.133,4,7,0.689,129.953,0,1,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
Hope,XXXTENTACION,0.661,0.592,110886,0.457,0.000331,-6.081,0.146,0.0603,4,9,0.225,146.04,0,1,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
Brothers Anthem,Ajay-Atul,0.421,0.552,353676,0.668,0.0117,-9.111,0.159,0.0473,4,2,0.152,95.032,1,1,https://open.spotify.com/track/3uZiNvBNQldjl4OJiKsuxe,https://i.scdn.co/image/ab67616d0000b273b62efc8fa0cbf9bdd3331e49
Rap God,Eminem,0.397,0.708,363521,0.843,0.0,-2.66,0.799,0.314,4,7,0.625,148.14,1,1,https://open.spotify.com/track/6or1bKJiZ06IlK0vFvY75k,https://i.scdn.co/image/ab67616d0000b273cb66bcc14c6f857c127d5969
The Real Slim Shady,Eminem,0.0302,0.949,284200,0.661,0.0,-4.244,0.0454,0.0572,4,5,0.76,104.504,0,1,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
Venom - Music From The Motion Picture,Eminem,0.0148,0.75,269573,0.789,0.0,-5.058,0.501,0.0647,4,0,0.467,135.954,1,1,https://open.spotify.com/track/3kpYJjvM8Ja6btr5hEJLWc,https://i.scdn.co/image/ab67616d0000b2731b95097dd6e47dfb02b315c8
Believer,Imagine Dragons,0.0622,0.776,204347,0.78,0.0,-4.374,0.081,0.128,4,10,0.666,124.949,0,1,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
Legends Never Die,League of Legends,0.00786,0.498,235000,0.598,0.0,-6.638,0.111,0.0377,4,4,0.0573,140.078,0,1,https://open.spotify.com/track/1FpVJ7HpZInE2GvhVE2TwT,https://i.scdn.co/image/ab67616d0000b273cb5ec46d6f1d2cf8d36d3663
